antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_len,consequents_len,antecedents_TF_motif,antecedents_dir,antecedents_time,consequents_TF_motif,consequents_dir,consequents_time,TF_peak_jaccard,peak_adj_lift
MEOX2_neg_1,LMX1B_neg_1,0.10666666666666667,0.10666666666666667,5,0.3125,2.9296875,0.021955555555555555,1.2993939393939393,0.7373134328358208,1,1,MEOX2,neg,1,LMX1B,neg,1,0.125,2.5634765625
NEUROG2_neg_1,LMX1B_neg_1,0.10666666666666667,0.10666666666666667,5,0.3125,2.9296875,0.021955555555555555,1.2993939393939393,0.7373134328358208,1,1,NEUROG2,neg,1,LMX1B,neg,1,0.030303030303030304,2.840909090909091
LMX1B_neg_1,MEOX2_neg_1,0.10666666666666667,0.10666666666666667,5,0.3125,2.9296875,0.021955555555555555,1.2993939393939393,0.7373134328358208,1,1,LMX1B,neg,1,MEOX2,neg,1,0.125,2.5634765625
MEOX2_neg_1,SHOX_neg_1,0.10666666666666667,0.10666666666666667,5,0.3125,2.9296875,0.021955555555555555,1.2993939393939393,0.7373134328358208,1,1,MEOX2,neg,1,SHOX,neg,1,0.09090909090909091,2.6633522727272725
SHOX_neg_1,MEOX2_neg_1,0.10666666666666667,0.10666666666666667,5,0.3125,2.9296875,0.021955555555555555,1.2993939393939393,0.7373134328358208,1,1,SHOX,neg,1,MEOX2,neg,1,0.09090909090909091,2.6633522727272725
ID4_pos_2,NEUROD1_pos_2,0.09333333333333334,0.14666666666666667,6,0.42857142857142855,2.922077922077922,0.02631111111111111,1.4933333333333334,0.7254901960784315,1,1,ID4,pos,2,NEUROD1,pos,2,0.16666666666666666,2.435064935064935
FOSB_pos_1,KLF16_pos_1,0.07333333333333333,0.28,9,0.8181818181818181,2.9220779220779214,0.039466666666666664,3.9599999999999986,0.709832134292566,1,1,FOSB,pos,1,KLF16,pos,1,0.06329113924050633,2.7371362814400784
SREBF2_neg_1,HIC2_neg_1,0.15333333333333332,0.18,12,0.5217391304347827,2.8985507246376816,0.0524,1.714545454545455,0.7736220472440944,1,1,SREBF2,neg,1,HIC2,neg,1,0.01639344262295082,2.8510334996436213
FOXP3_neg_4,TFAP2C_pos_1,0.04666666666666667,0.24666666666666667,5,0.7142857142857142,2.8957528957528953,0.021822222222222222,2.636666666666666,0.6867132867132867,1,1,FOXP3,neg,4,TFAP2C,pos,1,0.0,2.8957528957528953
FOXD2_neg_4,TFAP2C_pos_1,0.04666666666666667,0.24666666666666667,5,0.7142857142857142,2.8957528957528953,0.021822222222222222,2.636666666666666,0.6867132867132867,1,1,FOXD2,neg,4,TFAP2C,pos,1,0.0,2.8957528957528953
FOXI1_neg_4,TFAP2C_pos_1,0.04666666666666667,0.24666666666666667,5,0.7142857142857142,2.8957528957528953,0.021822222222222222,2.636666666666666,0.6867132867132867,1,1,FOXI1,neg,4,TFAP2C,pos,1,0.0,2.8957528957528953
JUN_pos_1,TFAP2C_pos_1,0.09333333333333334,0.24666666666666667,10,0.7142857142857142,2.8957528957528953,0.043644444444444444,2.636666666666666,0.7220588235294119,1,1,JUN,pos,1,TFAP2C,pos,1,0.05333333333333334,2.7413127413127407
FOXO6_neg_4,TFAP2C_pos_1,0.04666666666666667,0.24666666666666667,5,0.7142857142857142,2.8957528957528953,0.021822222222222222,2.636666666666666,0.6867132867132867,1,1,FOXO6,neg,4,TFAP2C,pos,1,0.0,2.8957528957528953
SCRT1_pos_1,TFAP2C_pos_1,0.09333333333333334,0.24666666666666667,10,0.7142857142857142,2.8957528957528953,0.043644444444444444,2.636666666666666,0.7220588235294119,1,1,SCRT1,pos,1,TFAP2C,pos,1,0.0547945205479452,2.7370815042047916
FOXO4_neg_4,TFAP2C_pos_1,0.04666666666666667,0.24666666666666667,5,0.7142857142857142,2.8957528957528953,0.021822222222222222,2.636666666666666,0.6867132867132867,1,1,FOXO4,neg,4,TFAP2C,pos,1,0.0,2.8957528957528953
FOSB_pos_1,SP8_pos_1,0.07333333333333333,0.22,7,0.6363636363636364,2.8925619834710745,0.030533333333333336,2.145,0.7060637204522097,1,1,FOSB,pos,1,SP8,pos,1,0.05084745762711865,2.745482560582715
ZNF740_neg_2,EWSR1-FLI1_neg_2,0.16666666666666666,0.18,13,0.52,2.8888888888888893,0.05666666666666667,1.7083333333333335,0.7846153846153846,1,1,ZNF740,neg,2,EWSR1-FLI1,neg,2,0.18181818181818182,2.3636363636363638
MAF_neg_2,TFAP2A_pos_1,0.08666666666666667,0.13333333333333333,5,0.3846153846153846,2.8846153846153846,0.021777777777777778,1.4083333333333332,0.7153284671532847,1,1,MAF,neg,2,TFAP2A,pos,1,0.0,2.8846153846153846
MSC_pos_2,NR2F2_neg_1,0.08666666666666667,0.13333333333333333,5,0.3846153846153846,2.8846153846153846,0.021777777777777778,1.4083333333333332,0.7153284671532847,1,1,MSC,pos,2,NR2F2,neg,1,0.0,2.8846153846153846
